3514	100
3536	100
3558	100
3580	100
3603	100
3626	100
3649	100
3673	100
3696	100
3721	100
3745	100
3770	100
3795	100
3820	100
3846	100
3872	100
3899	100
3926	100
3953	100
3981	100
4009	100
4037	100
4066	100
4095	100
4125	100
4155	100
4185	100
4216	100
4248	100
4280	100
4312	100
4345	100
4379	100
4413	100
4447	100
4482	100
4518	100
4554	100
4590	100
4628	100
4666	100
4704	100
4743	100
4783	100
4824	100
4865	100
4907	100
4950	100
4993	100
5037	100
5082	100
5128	100
5175	100
5222	100
5270	100
5320	100
5370	100
5421	100
5473	100
5526	100
5580	100
5636	100
5692	100
5749	100
5808	100
5868	100
5929	100
5991	100
6055	100
6120	100
6187	100
6255	100
6324	100
6395	100
6468	100
6542	100
6618	100
6696	100
6776	100
6858	100
6941	100
7027	100
7115	100
7205	100
7297	100
7392	100
7489	100
7589	100
7691	100
7797	100
7905	100
8016	100
8131	100
8249	100
8370	100
8495	100
8624	100
8756	100
8893	100
9034	100
9180	100
9330	100
9486	100
9647	100
9813	100
9985	100
10163	100
